variable,factor,kruskal_stat,p_value
aboveground_biomass,F.legacy,86.40073305387794,1.2985539552457787e-18
aboveground_biomass,F.seed,,
aboveground_biomass,F.shrub,,
soil_moisture,F.legacy,12.74203026622725,0.005229028865835337
soil_moisture,F.seed,,
soil_moisture,F.shrub,,
ph,F.legacy,15.66384004023542,0.001328883280575352
ph,F.seed,,
ph,F.shrub,,
ec,F.legacy,16.370121564398936,0.0009520933914202096
ec,F.seed,,
ec,F.shrub,,
nh4i,F.legacy,22.94311971189575,4.150057577138458e-05
nh4i,F.seed,,
nh4i,F.shrub,,
no3i,F.legacy,41.58564531684556,4.912403083613484e-09
no3i,F.seed,,
no3i,F.shrub,,
nh4f,F.legacy,1.0268447950943735,0.7947566872964666
nh4f,F.seed,,
nh4f,F.shrub,,
no3f,F.legacy,22.498310275967018,5.137174781282321e-05
no3f,F.seed,,
no3f,F.shrub,,
po4,F.legacy,40.74360456928623,7.411402041979448e-09
po4,F.seed,,
po4,F.shrub,,
species_richness,F.legacy,50.07882056054215,7.686269834464551e-11
species_richness,F.seed,20.805887110853998,0.18609333237824813
species_richness,F.shrub,,
